	GM1	PN1	GM2	A1	A1	GM2	GM3	PN1	GM1	PN1	GM1	GM2	GM2	PN1	PN1	GM1	GM2	GM1	GM3	
315	1	 	3	4	5	6	7	 	9	 	 	 	 	 	 	 	 	 	19	
316	1	 	3	4	5	6	7	 	9	 	 	 	 	 	 	 	 	 	19	
317	1	 	3	4	5	6	7	 	9	 	 	 	 	 	 	 	 	 	19	
318	1	 	3	4	5	6	7	 	9	 	 	 	 	 	 	 	 	 	19	
319	1	 	3	4	5	6	7	 	9	 	 	 	 	 	 	 	 	 	19	
320	1	 	3	4	5	6	7	 	9	 	 	 	 	 	 	 	 	 	19	
321	1	 	3	4	 	6	7	 	9	 	11	 	 	 	 	 	 	 	19	
322	1	 	3	4	 	6	 	 	9	 	11	 	13	 	 	 	 	 	19	
323	1	 	3	4	 	6	 	 	9	 	11	12	13	 	 	 	 	 	 	
324	1	 	3	4	 	6	 	 	9	 	11	12	13	 	 	 	 	 	 	
325	1	 	3	4	 	6	 	 	9	 	11	12	13	 	 	 	 	 	 	
326	1	 	3	4	 	6	 	 	9	 	11	12	13	 	 	 	 	 	 	
327	1	 	3	4	 	6	 	 	9	 	11	12	13	 	 	 	 	 	 	
328	1	 	3	4	 	6	 	 	9	 	11	12	13	 	 	 	 	 	 	
329	1	 	3	4	 	6	 	 	9	 	11	12	13	 	 	 	 	 	 	
